"day";"y";"yprev";"n"
67;"Discharged";"Discharged";352
67;"Non-ICU ward";"Non-ICU ward";22
67;"ICU";"ICU";3
67;"Dead";"Dead";16
68;"Discharged";"Discharged";352
68;"Discharged";"Non-ICU ward";1
68;"Non-ICU ward";"Non-ICU ward";21
68;"ICU";"ICU";3
68;"Dead";"Dead";16
69;"Discharged";"Discharged";352
69;"Discharged";"Non-ICU ward";2
69;"Non-ICU ward";"Discharged";1
69;"Non-ICU ward";"Non-ICU ward";19
69;"ICU";"ICU";3
69;"Dead";"Dead";16
70;"Discharged";"Discharged";353
70;"Discharged";"Non-ICU ward";1
70;"Non-ICU ward";"Discharged";1
70;"Non-ICU ward";"Non-ICU ward";19
70;"ICU";"ICU";3
70;"Dead";"Dead";16
71;"Discharged";"Discharged";354
71;"Discharged";"Non-ICU ward";3
71;"Non-ICU ward";"Non-ICU ward";17
71;"ICU";"ICU";3
71;"Dead";"Dead";16
72;"Discharged";"Discharged";357
72;"Discharged";"Non-ICU ward";2
72;"Non-ICU ward";"Non-ICU ward";15
72;"ICU";"ICU";3
72;"Dead";"Dead";16
73;"Discharged";"Discharged";359
73;"Non-ICU ward";"Non-ICU ward";15
73;"ICU";"ICU";3
73;"Dead";"Dead";16
74;"Discharged";"Discharged";357
74;"Discharged";"Non-ICU ward";1
74;"Non-ICU ward";"Discharged";2
74;"Non-ICU ward";"Non-ICU ward";14
74;"ICU";"ICU";3
74;"Dead";"Dead";16
75;"Discharged";"Discharged";357
75;"Non-ICU ward";"Discharged";1
75;"Non-ICU ward";"Non-ICU ward";15
75;"ICU";"Non-ICU ward";1
75;"ICU";"ICU";3
75;"Dead";"Dead";16
76;"Discharged";"Discharged";357
76;"Discharged";"Non-ICU ward";4
76;"Non-ICU ward";"Non-ICU ward";12
76;"ICU";"ICU";4
76;"Dead";"Dead";16
77;"Discharged";"Discharged";361
77;"Discharged";"Non-ICU ward";3
77;"Non-ICU ward";"Non-ICU ward";9
77;"ICU";"ICU";4
77;"Dead";"Dead";16
78;"Discharged";"Discharged";364
78;"Discharged";"Non-ICU ward";2
78;"Non-ICU ward";"Non-ICU ward";7
78;"Non-ICU ward";"ICU";1
78;"ICU";"ICU";3
78;"Dead";"Dead";16
79;"Discharged";"Discharged";364
79;"Non-ICU ward";"Discharged";2
79;"Non-ICU ward";"Non-ICU ward";8
79;"ICU";"ICU";3
79;"Dead";"Dead";16
80;"Discharged";"Discharged";363
80;"Non-ICU ward";"Discharged";1
80;"Non-ICU ward";"Non-ICU ward";10
80;"ICU";"ICU";3
80;"Dead";"Dead";16
81;"Discharged";"Discharged";363
81;"Discharged";"Non-ICU ward";2
81;"Non-ICU ward";"Non-ICU ward";9
81;"ICU";"ICU";3
81;"Dead";"Dead";16
82;"Discharged";"Discharged";365
82;"Discharged";"Non-ICU ward";1
82;"Non-ICU ward";"Non-ICU ward";8
82;"ICU";"ICU";3
82;"Dead";"Dead";16
83;"Discharged";"Discharged";366
83;"Discharged";"Non-ICU ward";1
83;"Non-ICU ward";"Non-ICU ward";7
83;"ICU";"ICU";3
83;"Dead";"Dead";16
84;"Discharged";"Discharged";365
84;"Discharged";"Non-ICU ward";1
84;"Non-ICU ward";"Discharged";1
84;"Non-ICU ward";"Non-ICU ward";6
84;"ICU";"ICU";3
84;"Dead";"Discharged";1
84;"Dead";"Dead";16
85;"Discharged";"Discharged";366
85;"Non-ICU ward";"Non-ICU ward";7
85;"ICU";"ICU";2
85;"Dead";"ICU";1
85;"Dead";"Dead";17
86;"Discharged";"Discharged";364
86;"Non-ICU ward";"Discharged";2
86;"Non-ICU ward";"Non-ICU ward";7
86;"ICU";"ICU";2
86;"Dead";"Dead";18
87;"Discharged";"Discharged";361
87;"Non-ICU ward";"Discharged";3
87;"Non-ICU ward";"Non-ICU ward";9
87;"ICU";"ICU";2
87;"Dead";"Dead";18
88;"Discharged";"Discharged";361
88;"Non-ICU ward";"Non-ICU ward";12
88;"ICU";"ICU";2
88;"Dead";"Dead";18
89;"Discharged";"Discharged";361
89;"Discharged";"Non-ICU ward";2
89;"Non-ICU ward";"Non-ICU ward";10
89;"ICU";"ICU";2
89;"Dead";"Dead";18
